,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
go,-1.5371648,1.7518964,0.618139,-1.1783453,2.1427393,0.6173632,-0.56953937,-3.878078,-0.61536336,0.10657648,1.8208903,-2.7705247,-0.18614358,-1.6698674,-0.95520735,0.6509333,-0.3080196,-1.6010141,-0.17967498,-1.0015677,-2.1464665,1.9130036,-0.60126376,-2.0454469,-1.1317097,-0.06442524,-0.6148773,-1.3452076,0.8382033,-2.4116886,-0.5753524,-1.3145548,1.5396255,0.19340649,-0.60195726,0.05728617,-2.7869375,1.214529,0.83326584,-0.37594634,0.6596557,-1.4474541,-0.666004,-1.0625392,-0.5710264,0.3274862,-1.4071559,-0.029779151,-1.7051746,1.7103273,-1.0067846,-2.563975,-0.4939194,1.2498614,1.2265637,1.7238318,-0.6780328,2.0922744,1.0061506,1.4747669,-1.0344069,2.2744396,-2.1240108,-0.49164718,-1.2644074,-0.39419296,-1.96834,0.06411508,4.359822,-3.2341971,0.8276934,0.27882528,-1.9939221,0.7143714,-0.60627306,1.6120782,-1.6315787,3.0967476,-0.10565328,0.1776895,-0.35506624,-0.857815,1.5074254,0.029075919,-2.091597,1.4508665,-0.40246412,-1.7107332,1.5356929,-0.7200887,-0.93344784,-2.2005181,0.24458131,1.8335596,0.114884704,-2.1597812,-1.6585956,-0.38238075,1.1494995,-0.9669628,0.19231693,-2.35588,-3.9570363,1.0597723,-0.023144122,2.0694554,-3.2952757,-0.73252785,-0.067991145,2.8628886,0.4358893,2.7055204,2.459795,-1.4714373,0.393084,0.42359176,0.44433147,0.15292333,2.7893791,2.1730082,1.4432219,-2.2347364,0.93866324,0.1890205,1.2939816,-0.46839857,0.69972193,1.5320293,-0.053623315,-0.621156,1.8415498,-0.45755696,-0.49294057,0.22239183,0.34798867,0.84011847,-0.82618994,0.314159,0.747835,0.28027597,-1.1848048,1.5032233,1.7071046,0.15769897,-0.6069625,4.940552,0.30428618,3.0121067,0.49612558,-1.4371853,-0.40360168,2.2779322,2.3179243,1.5149498,-0.45456755,-0.36973175,-2.5907416,-0.18371643,1.2249289,-0.04796867,0.7180424,2.2630143,-1.3501636,2.5553353,-1.1219846,0.29862657,1.0405481,-1.4942179,1.2086967,2.3260875,-0.1549434,1.5490297,-0.87854636,-0.15814908,-0.035785597,-2.8299744,-0.53468853,1.2836374,2.933063,2.7875023,1.3227235,-2.614089,1.2533326,-0.47150084,0.31160948,-0.069424726,0.812919,-0.46677697,2.4156265,0.43746704,-1.194684,1.7001286,1.7508898,2.0583684,-0.0869789,-1.0211091,-2.516626,1.5388423,-1.1325699,-0.49394447
make,-3.3773334,2.4438426,-0.18487392,1.2528049,-0.35294303,0.93657136,-0.2773287,-1.5728413,-2.4246662,-1.5327944,-1.0000314,-1.9169902,0.085651495,1.092938,-0.09450118,1.5625467,2.7570486,-1.5569209,2.6450157,-3.8907492,-2.515541,5.6526303,-1.1067818,0.8588466,1.359848,1.3359993,0.54079056,-0.3961859,2.5534248,-1.1573129,-3.416282,-0.12738241,-1.8156013,-0.79977506,0.23009755,-1.3341249,-1.203487,-0.07803003,-0.03969329,1.1970434,0.15612403,0.100139104,-0.06295168,0.9783339,-2.6585727,1.658207,1.6500576,1.7448853,-4.1358256,-1.6759652,0.7455729,-4.2166486,-0.12570615,0.2889355,0.36768153,-1.0914586,-1.6415722,-0.070038155,2.539611,1.0800687,-0.79554355,1.2054021,1.1925216,-0.89742684,-1.0520134,2.1369512,-2.688418,0.0654556,0.3073308,1.1869372,0.33746883,-0.44052568,1.2775458,0.66540587,-1.315022,0.4411617,-4.3597145,2.1729443,2.5514529,0.42452034,0.19179693,1.0390724,2.2873282,-3.323935,1.2183845,0.28079593,0.27005315,-0.62870026,0.6841318,-0.9483662,-2.4165895,-3.8628118,-3.2298281,-0.1936593,0.15653944,-3.1549246,1.2192342,0.30187306,0.62178034,0.57375544,-0.25992072,-4.1073394,-1.2647681,-0.9063308,1.2940286,-0.9328911,-5.1532326,0.8056178,0.84612745,1.7752124,-0.5059318,1.959449,0.27671683,-0.1766408,2.4449787,1.5104592,0.28725225,-0.25624627,3.6454747,2.560054,1.2516344,-2.028466,-0.14102848,0.111246794,-1.958734,0.18666984,0.4279889,1.3242242,0.4964139,0.7901237,1.373788,-2.2932382,-0.233872,-1.4595987,-0.9944084,-1.604559,-0.87231094,0.26855814,-0.039674714,4.325051,1.317378,3.0999262,-0.19986154,-0.17162529,0.19070695,2.3454049,1.1653805,0.76825225,1.2061384,-1.9994338,1.1814352,1.5553286,2.4442806,-0.8818659,0.30178255,0.7533588,-1.3992165,0.9159774,1.3003658,0.019001057,0.011056877,3.139669,-1.1766442,1.0194044,0.74662095,0.99466956,1.2987102,-2.22371,1.210401,-0.12411118,-1.3306509,0.24219824,-4.8031864,-0.13142698,0.039910354,-0.33869314,-0.5415518,0.48746863,1.7719191,-0.56520945,2.413458,-2.333259,0.40764195,-0.51822734,-0.07089467,1.3184884,-3.2722898,1.7112206,-1.6373632,-1.2690455,-1.8714985,-1.6634685,0.8507366,1.6292665,-0.8324983,-1.1783872,2.554248,1.2259161,0.042212594,1.1385542
new,0.1111,0.94740033,2.4969666,0.005366382,-1.543714,-2.517016,2.2310536,1.0990435,-1.3030419,-2.2675352,0.7149636,0.36260659,1.4438244,-0.18863127,0.14035568,4.154484,0.16747348,0.45709676,-0.50670063,-1.4086703,-2.42894,3.1502266,-0.44790116,-3.0849922,1.7743101,-1.9787415,-1.715181,0.8561293,4.0339313,-1.3176725,0.39322472,1.6388507,0.7165176,0.5660798,1.8858206,1.5596968,-0.04870269,-2.9189363,1.6260233,-0.4821941,-1.3492004,-0.805174,0.7077542,0.12368293,4.55176,-1.6139892,1.6548556,2.1927674,0.10104722,-1.5647889,-1.1056594,2.2499888,-0.2614288,0.114940666,1.9768821,0.5734652,2.3024216,1.7186556,4.9852934,0.4695736,2.1686573,0.41671148,-0.14981855,-0.54696417,0.40361112,1.246398,-2.3930867,-2.4449482,2.714333,-1.360805,-0.49138904,-2.200994,-1.2435647,3.1059577,-1.1764412,0.11899955,-0.42268306,1.8557316,-1.0783954,0.19697712,3.145855,-2.3397548,0.9069511,-0.7650674,-0.040303633,2.6740348,-1.9299309,-0.52677333,1.515277,3.0282443,-0.1776133,-0.91486204,-0.34630084,-1.6371673,-0.53503346,-3.0106409,1.9501133,-0.29856652,0.48885697,-2.2565668,2.4514143,-0.07336298,0.64466715,1.0696495,1.1919188,1.885707,-3.7246635,-0.93607706,-1.3334625,5.367049,-1.8890191,2.917698,0.24178618,2.3033075,-1.7474527,1.694674,1.4798172,-0.1811359,0.019741144,0.64229465,-0.517508,-1.6668996,-2.5208895,-1.3044953,-1.9064115,-0.62471163,-3.3375695,2.0621138,0.82271326,0.35988888,0.8034627,-0.5015225,-3.8900278,-1.559237,1.0161101,2.104597,1.6554959,0.82304996,2.1207654,-1.0760678,1.9019382,1.5119102,1.6863439,-0.12512995,1.0302716,-0.4558853,-0.28695858,1.9879268,0.9955643,-1.0084274,-0.9557036,1.4555292,-1.5271506,0.87703425,0.28203326,-2.7703617,-2.0104308,0.220897,0.30645993,-1.2048295,2.410977,1.062413,0.26424387,1.410977,1.4904348,1.4572998,1.6022482,-1.9708519,-2.532437,-0.9023792,-3.2914035,-1.7635697,-3.0392504,-0.49641266,-0.32113063,-1.5060798,1.3073723,-1.688154,2.9836411,2.4963763,0.7084118,-0.49798167,-1.8690461,1.7366887,-1.5178589,-1.4157248,2.2826288,2.1804037,-2.3420208,0.84866434,-3.5917542,-1.4304355,2.7325726,-0.7431966,-0.193171,-3.242808,0.06876196,2.686294,0.2958874,-0.37594393
state,-1.8435588,0.8370718,-0.9378753,2.8362818,-1.4475412,-0.3215687,0.13744573,-0.48424646,0.3383195,1.2719511,-1.8834862,4.3695703,1.8809769,-2.1064782,-2.2051778,-1.010585,-0.079181544,1.5559634,2.3744626,-1.369996,0.432468,0.20832735,5.0103397,0.6909842,-0.97575027,-2.9992962,1.3083152,3.5901406,3.444329,-0.10191111,-0.26502782,2.515092,3.1978703,1.8442637,-0.6283497,0.41840795,-3.5483527,0.5045998,-0.07552361,0.9359874,1.1841004,-0.17905463,5.04574,0.9564921,-2.3260596,-1.1227847,1.5605898,2.4356072,-0.969004,-3.0868754,-0.28869617,0.78398675,-0.1501518,2.4585052,-0.06544802,0.87810856,-1.2416931,2.5261316,1.0075074,1.8486077,-0.97639847,0.10074878,-1.3432345,-0.52750933,-2.278741,-1.0564606,1.4029067,-1.8758206,1.7794855,1.1662018,4.5579867,-2.177827,-2.6111932,0.14013231,0.5122679,-6.6329455,0.24789876,0.84806746,1.161242,1.1895595,-1.1442906,2.098709,0.24356438,-1.1443523,2.2788267,-0.43104485,-2.1920867,0.7453844,1.9183013,0.7625287,3.4835753,-3.7383626,-1.4215744,-1.7311692,0.1833167,-3.1906383,-1.4220012,0.48869956,-0.5943435,-0.79229486,0.6377284,1.0195802,-0.8408622,0.5804214,3.612856,2.041064,-2.537112,-0.7366244,-0.26336935,1.0484588,0.6017852,-0.16327356,0.6599732,1.6736982,-2.6187751,-2.31206,1.5774345,-0.674124,-1.5612007,4.121081,0.8863805,-3.0623279,-2.5778759,-0.48742148,-1.7205114,-1.1490155,-3.1335032,1.322408,-1.0053655,0.8442449,0.55593884,0.54332334,-2.9469388,-1.2464086,-2.050693,-1.7176387,0.5312272,0.804817,2.9191208,0.52646756,-3.7198172,-0.29200226,-1.2588899,-2.2322707,0.15711595,-0.5159488,0.50595087,1.2748088,2.815769,1.7413704,0.032367196,-0.57766455,-0.7495864,-3.0555778,0.13808338,-1.9732045,4.618735,-1.2604405,0.39662924,-1.6164706,-0.88627064,-2.7395277,-2.546116,1.4208968,1.2969807,1.1169299,1.1391773,0.55841047,-2.454648,-1.5720994,-1.6179062,0.6852118,-0.1838871,-0.2597972,-2.9419487,-2.1936114,-0.80911696,-2.3286757,2.2918613,-1.1410395,-3.0383224,-1.1663598,-0.6574631,-0.6680233,0.68873715,-1.1439863,-1.5315957,-0.90329576,3.1120725,-0.2359505,-0.44502306,-0.08825326,-0.22044094,-0.8822116,0.99588466,2.3841124,3.4520845,3.8481305,-3.1028576,-1.3163738
take,-0.2611275,1.3985968,-3.181413,1.124774,-0.85271317,1.3606845,0.69073784,-2.4554524,0.5308006,-1.7597449,3.5082493,-1.8373837,0.18975534,0.20675388,-2.0513887,2.5900092,0.21473958,1.9488268,2.2942514,0.42405277,-0.4100981,2.746073,-2.0271838,1.6105752,0.20900719,-1.4543974,-3.1291013,-1.1405169,1.3908962,-2.4998755,2.6386437,1.4208033,3.4739895,-1.8417172,-3.0689502,-0.20303032,0.59571713,0.431324,-1.4781237,-0.7854449,-2.5163527,1.337948,0.2925594,0.1851344,-1.1006358,4.289262,-0.4280027,1.4530219,-1.781652,0.50409836,-3.9611619,-2.7193992,-0.45837557,0.8369698,1.1710904,-2.071693,0.4192886,0.8990623,0.571038,1.8204863,0.61689305,-0.16064472,0.88900775,-0.6188079,-1.6459824,-4.218048,-5.8674874,0.4391968,4.079991,-0.51973355,0.05872949,0.6977178,1.711873,1.036888,-2.0786397,0.49964818,-1.8187122,0.024007535,1.5471735,0.51344144,-0.6969372,-0.8246801,1.0342839,-1.5946498,-3.7888122,-1.3493078,0.90820694,-2.1478472,0.17744076,-3.7895136,1.9886526,-0.20519455,-0.39954376,-1.6539887,-0.6976393,-0.7441736,-1.9117384,-2.4064724,0.720183,-1.5926641,0.12530398,-3.5633533,-1.5329611,-0.19986047,3.805568,1.6037185,-3.864629,-0.33280608,-2.4947913,2.1432002,-0.15982483,1.9672191,2.2603092,0.13939483,1.5651162,0.1668684,0.8107172,2.0200572,0.6893713,1.3960439,-0.31008047,-3.7182255,-1.4101865,0.5652905,1.6518278,1.0993209,3.1355593,2.818893,-0.013558848,-0.088711485,-1.1419193,-0.20179194,-0.09090861,-0.90662247,-0.61084247,1.8744078,0.19748844,1.4630346,-0.22170737,1.2681419,-2.3267705,0.7742423,2.9070177,0.177359,0.3548856,3.2299678,-0.5298389,2.8338263,0.47316313,-1.0236557,0.17456025,-0.5882449,-0.4770539,-1.0575342,0.20679231,-1.4080783,0.21578541,-0.29816028,1.0446312,0.62023056,0.61902076,0.9707199,-0.25302377,1.4115323,-1.2168955,0.4878148,2.8691194,0.24887088,-0.5883555,0.5161302,1.409193,2.3033416,-5.144841,0.3965014,-2.3944921,-0.7728822,0.2723914,-0.31897438,1.0515319,3.1264558,0.45765892,-1.9316812,0.44523796,-0.41666824,0.48564696,-0.15586945,1.1606166,1.8281736,-1.2764028,-1.1754392,-1.361316,0.34987614,1.7553068,3.7279553,-1.6671137,-0.5790385,-1.5366834,0.34616408,0.77935123,1.8486133
tell,-0.2148814,0.6167192,0.20707859,-0.8481715,0.7303845,0.7374466,2.726802,-3.3246422,1.0236307,-2.3892412,3.5659304,-0.1602578,-0.70351726,-3.3225665,-0.78246707,-3.4978323,1.2423662,0.42240196,1.3702779,-1.0117341,2.5445418,0.44540152,-1.9336972,-0.6349118,-2.051943,-2.192458,1.481582,-1.974731,0.9559496,1.225079,4.1278133,-0.26512635,-1.944821,-3.799415,0.5203019,-3.3211129,-1.5200508,-3.588888,-3.336994,0.5911702,-1.5578693,-1.7528733,1.7801517,-0.534787,-1.6549715,-2.4224606,3.0468864,2.968372,-2.1918375,-2.2257764,-2.5773866,-1.238632,-2.4441538,2.7297893,-0.33230785,2.2352002,0.4422126,-0.7354612,-0.6999527,4.0151763,1.6795952,-1.0705233,0.99355596,-0.6859428,-2.5620291,1.1920754,-5.212817,2.1508045,1.4357221,-1.6190572,-2.0115511,1.1396122,-2.5149872,2.2523627,-1.1025218,-1.7711966,-0.1853602,3.2929327,-0.064263314,-3.1566978,0.12020921,-1.9683752,-1.6583709,0.9060488,-2.9542644,1.7416774,2.6289883,0.3234812,0.6112005,-2.9281127,-3.3997116,-0.46478593,-0.046522774,1.3612138,0.22538386,-2.6868868,-1.0231581,-0.65091085,-2.3628457,-1.2754658,0.37510997,-2.8837774,-0.4533104,-1.4676863,0.9052422,-0.77595353,-2.3273776,1.8182151,3.5337229,-0.90251,-2.3240533,-0.5971586,3.0413518,-0.018307112,-1.0548075,1.9020848,-1.0475808,0.41445464,2.0352595,3.469281,1.1278415,0.17948794,0.03721765,-1.402206,-0.10931887,1.1033525,-0.8653707,-2.0128796,-0.3382469,0.1248173,2.7879238,-2.194951,4.159359,-3.1942108,-4.435034,0.920455,1.1330777,0.662271,-0.8394077,1.6595124,2.5402102,0.17139693,0.5128591,3.480127,4.4178395,-1.5264444,-1.4189337,3.4372056,2.1243482,1.3143382,2.471839,6.571143,3.7915347,-1.4950402,-0.41204494,4.020136,-1.6121868,-0.7474238,1.3176566,-1.0597941,2.6810715,-0.6845996,-1.8400922,1.1626667,-1.2692783,0.42433783,0.46219182,-1.568249,1.563303,-1.9435227,-1.4482744,-0.21559066,-1.7741207,2.9670665,-2.8822892,0.22951145,-3.5900886,-2.2136512,1.4716846,4.0906262,3.6770737,1.7481635,-2.357315,-0.2457559,-2.5256472,0.6687833,-0.24307473,1.4545332,3.2397683,-0.44125432,3.5488539,-0.55441004,-1.5715532,-0.16268344,0.45895937,-4.315294,-2.0583675,1.0147102,-2.617243,-1.0881872
time,-0.7988028,2.955109,2.1940267,0.5986385,0.55282956,-0.54595095,-2.6578867,-2.0579464,1.4918416,-0.3114576,0.9085114,-0.7754955,0.115154356,0.37005138,0.9577313,1.975232,-0.44185925,-2.9318683,0.099693485,-0.108873256,-2.3503208,-0.5147819,-1.5771233,-1.1279678,0.9097455,1.3566375,2.1823766,0.12980844,1.5386434,-2.1281385,-0.00085950806,-0.19359912,3.461726,0.61265296,1.3284922,-2.1549435,-1.8179669,-1.4455719,0.85484594,2.646323,-0.6600677,0.11582099,1.7912785,0.14361516,-0.32699853,0.6788919,1.4749157,2.4656558,-1.9034086,0.49275166,-0.23856638,0.06024813,1.5843945,1.9117374,3.5239198,-1.1752636,1.9877483,1.9169286,1.7737246,0.9930448,-2.1057382,-0.17946143,-1.0192949,2.8926246,-1.4319109,-0.038944803,2.528596,-0.537904,1.6236011,-0.7634345,1.788574,-1.1863352,1.0667063,-0.06649597,1.0287505,0.22926682,-3.5415406,0.27464175,1.0453284,0.4367031,-1.9403148,-1.4839439,1.6438053,-1.3788724,0.63131404,0.95794684,-1.6646341,-1.1009262,-0.5032288,1.2155685,-1.2675191,-2.8490977,0.60701466,-1.0681654,1.0481213,-0.07952316,-0.2605774,-0.78701746,-0.7079586,-1.9041873,1.0785303,-2.2795966,-2.8097334,0.43742508,0.414846,1.0365044,-1.7965578,2.2626386,2.5048327,0.696513,1.2298347,2.6470096,-0.74128056,1.8486295,1.2924086,0.16923423,-1.1775049,1.0671166,3.9001029,1.4744624,0.96796215,0.49467176,0.5944962,2.6285927,1.5205948,-0.41326857,1.1606832,-1.8502178,0.2809509,-1.3453784,2.281703,-3.1417646,-0.1171554,0.9411499,-0.0020876352,-1.3438951,-1.8115338,1.007823,-0.29401332,-0.53755194,-0.5605842,0.027623314,0.5391852,-0.00816275,2.0513637,4.24679,-0.7782633,2.6461315,0.25897753,-1.7494975,-0.01623814,3.6695032,0.63623387,-0.54694235,2.5704327,-1.3267288,-0.9945246,-0.39745197,0.47620606,-3.0157964,0.48925313,0.36211494,-1.4690155,2.5613322,0.5412495,0.5929007,0.7823097,-0.9844401,-0.15350056,-0.15326963,-0.22034192,1.1144931,-4.285545,-1.1882986,-1.7595863,-0.923583,-2.3177898,-0.64091015,0.69774234,-0.24157879,2.244697,-1.5086302,1.4016886,1.4458486,-0.50527406,-2.2910926,1.2814257,-3.1245334,1.0658705,-0.6519938,-1.9255044,-1.3537785,2.5233164,0.27690548,-2.0014555,-1.7546575,-1.0847383,2.5148175,0.9498487,1.360068
also,0.45412895,0.9986604,0.53957146,-0.08690405,-1.989966,0.5828036,-0.10722475,-1.4082426,-0.7265913,-1.4947131,-0.0015793181,0.18867204,-0.21061452,1.7684493,-0.4541373,-0.05183381,-1.302379,0.8722005,-0.79055655,0.11550248,-1.230126,1.365806,-0.6042523,-0.88661337,0.26459357,-0.31393614,2.1234548,-0.75562584,1.395522,-1.7942914,-2.150983,2.6023545,1.1406509,-1.5085455,-1.5231509,-0.13422151,-0.6089673,-0.2888484,1.2797129,-0.045738254,-0.9417257,1.402619,-0.91082317,-1.3029052,-0.45635164,0.6361814,-0.9431567,0.39378276,-1.3631226,-1.9291005,-2.736645,-1.7165651,-0.784453,1.2361143,1.9263237,0.89796156,0.18527824,1.2663498,4.613012,1.0196867,0.3895462,-0.547399,-0.90525,-1.5295908,-2.0737607,-0.16590655,0.90985394,-0.44399142,3.0733995,0.72004724,0.7741491,0.62234235,-0.4279003,1.7083269,0.8432646,-0.1542641,-0.25024763,-0.35129642,0.23507923,1.0504179,-0.09858757,1.4506975,0.5486119,-2.639718,1.9089974,-0.14319418,-0.79775727,0.5127268,0.87197506,-1.2639797,-0.33483025,-1.9074395,0.13200046,-1.516104,3.4275224,-0.27943796,-0.72719264,2.3904192,-1.292794,-1.1062702,2.1817842,-1.1782454,-0.48768562,1.8508793,0.9070647,0.79921365,-2.5592537,0.30451593,-1.0725096,-0.14212224,0.24558894,2.3385408,-2.0671449,0.8447422,-0.91359586,0.09249199,0.9029851,-0.07020206,1.6862128,1.5796367,-0.15103008,-1.3812708,-1.2606883,1.0062293,0.3582828,2.1916819,0.35515678,2.053219,0.84737974,0.61394244,0.8546689,-0.44757047,-0.9499098,-1.1745988,1.4420882,0.38646594,-0.35286817,0.7440336,1.1311643,1.2381437,-1.2854897,0.38760385,-1.9327074,-0.0085780285,-0.17015727,0.8743309,-1.5146489,0.6042137,1.6040493,0.16674423,-0.5864546,1.8397573,-0.15452431,-1.3733124,0.49466228,-0.9097863,-0.31484342,0.57142437,2.5416074,-0.097186014,-0.5345803,-1.945762,-2.4133031,-1.3241918,1.1386157,1.8361601,-1.6045934,-0.76807225,2.6809762,1.6510011,-0.6767999,-0.37338403,-0.027643405,2.0975835,-1.0412092,-2.1843297,-0.058237813,0.09148469,1.6515064,-0.016123647,-1.8080779,-1.422291,-0.8884022,1.2741917,-1.5497392,-0.7759565,-0.87360054,-0.7983217,-1.0592014,0.54444855,-1.5009993,-0.3241697,-0.5280582,0.99703914,0.44175664,-0.436619,-0.64582354,2.2162259,-0.3917105,-2.8898404
two,0.55934644,2.769868,1.1281585,0.5483385,-2.4233572,-0.04057137,0.6574266,-1.9291929,1.6712545,-0.8813642,-0.10636189,-2.6535482,0.87410975,-3.159448,-0.06975551,2.6258569,-1.3434374,-0.5651894,0.9503769,1.989231,0.44121164,0.67113286,-1.3989478,-0.8402297,-1.3421483,1.7252268,-1.9543246,0.31580663,0.7151066,-1.890218,-0.33257443,1.6043242,2.573684,-2.8437042,0.6780114,2.5591438,-1.1409516,1.7537812,-2.5093553,0.9091744,-0.25657526,-0.44095033,1.1078802,0.061103545,2.42484,2.789792,2.8661466,-0.10839739,0.13950674,-0.72578627,-1.0801566,1.4971478,0.52917457,-1.2405587,0.60436475,-0.72884613,0.11387546,1.3660113,4.256466,1.2099936,1.9039894,-2.4754953,-3.0680032,0.13100383,2.8015592,-0.59762305,-0.1899746,-0.4791386,2.5915918,-1.7266006,1.1554711,-0.65445364,-2.5925152,2.1874297,0.289876,0.92125607,0.06754236,0.8589403,3.9363782,1.1414403,-3.6664934,-0.8450493,0.5702805,-1.2268236,-0.14067765,-0.81961095,-1.6438222,-1.5105395,-0.4269929,-2.2536142,-0.4504329,-2.0856884,0.031375203,-1.6974821,3.0041215,1.5481145,0.80816644,1.9248607,-2.0704398,1.403143,1.8488436,-1.687231,-0.48527125,-0.86481327,-0.09417196,0.67598283,-1.2755919,2.445276,2.0968828,2.0676644,-1.005291,0.23697159,-0.6434335,1.3874671,2.8758519,3.026952,1.8014433,0.7693223,-0.07262565,3.3444076,0.04329158,0.35122773,-3.952371,0.059632484,-0.11456226,0.02514149,3.2528563,0.12297103,-1.0532206,-0.99719495,-1.6011051,0.92360955,-0.62428266,-1.59409,0.17494887,0.50999534,1.7804309,0.0644873,2.1046424,2.2223423,0.4796937,1.5364524,2.2711117,2.9810855,-0.13053617,1.1994774,-0.020578748,1.3058544,0.95396084,-1.8725462,0.300508,-0.41297704,1.5185746,-2.529354,0.99589515,-0.1014572,-2.2731218,-0.74771035,2.533818,-1.9115714,1.011057,-0.31617743,-0.4379899,1.271693,-0.3223744,1.138885,1.388788,0.1496489,1.0029906,1.2272085,-3.0229907,2.1556451,-0.025846906,0.14252809,1.2037536,-1.6467065,1.9254059,-0.15573774,1.5312225,0.21131855,1.2490904,-1.7965733,-1.9818844,0.51885563,0.1001788,0.107590005,0.9016052,-1.2246385,-1.188815,1.3519868,-1.8658993,-0.28717515,-1.4539475,1.3239458,1.2556319,0.4085042,-0.21157812,2.8510172,0.08410035,-1.3683687
get,-1.9322139,2.8230639,3.0730064,-2.8120818,2.1088402,3.588015,0.18124866,-2.8465483,-0.45625973,0.5351488,2.7632658,-3.011323,-1.4377578,0.6773645,-1.2027534,-0.30353764,-1.4677362,0.4779795,-1.108995,1.7187564,-1.1088384,0.34546888,-1.3174871,-2.9621174,2.806692,-2.3842554,-1.187804,-1.2999191,2.845585,-1.4991271,0.11111316,-1.7790843,0.37837368,-1.7686913,0.72070616,0.07972674,-1.4379082,-0.4939311,3.047808,-0.19279374,2.146248,-0.42084387,0.0745783,-0.16503312,-1.6756321,0.53920275,0.6649364,-1.0097507,-0.08587855,1.5609783,-0.40647742,-0.9371312,0.6072292,1.3280083,2.141959,0.8018981,-2.0241776,0.38159734,-1.8253312,1.6448545,-1.4639362,0.040481668,0.09507383,-0.877702,-1.4699928,0.8889034,-2.698963,0.8733007,1.8392235,-0.70535195,-1.0290432,-0.1530563,1.4498565,-0.9829466,-1.8040185,1.120682,-3.5086124,1.1040425,2.4684236,-0.36830318,-1.7725521,-1.4537082,3.5312192,-0.28559253,0.1250836,-1.6168375,-0.96989274,-4.06219,2.3920147,-1.8339281,-2.701568,-4.2030096,-1.2900785,1.7395756,0.6987133,-2.3577743,0.43953776,-2.2887743,0.6248647,-0.8476276,1.257244,-4.230139,-4.412325,-0.26184168,0.7666872,-0.544703,-3.8505862,0.51137173,0.7273643,2.1285367,-0.957193,0.6467053,3.6086416,-0.14239648,1.6682827,-0.5944257,2.3862834,0.5116034,2.0215251,3.7845762,3.4994416,-0.08184302,2.8357124,2.1196656,0.555125,0.35187113,-0.12115791,1.0334443,1.1052463,-2.6795669,2.6041703,1.442656,-0.5661231,0.3513992,0.022762759,1.406547,-1.2518625,2.1220152,0.91691685,-0.39140472,1.025147,2.2635736,1.4283264,1.2063216,0.14673322,5.2713575,0.6267402,3.2988765,0.7279353,-0.8428496,0.4770823,2.4585717,0.5960178,2.0593338,0.80426073,-3.3541598,-1.57618,-1.5528927,3.4145284,-0.5119084,-0.8289244,2.5122015,-1.1327981,3.019005,0.60678905,0.17770869,0.7725977,0.31442863,1.1931803,1.9995207,-0.10131347,1.4029505,-2.366791,-0.5115681,0.42614874,-2.5341346,-2.1147692,1.2962079,0.7469681,0.5778624,1.1020886,-1.538904,0.71314055,0.0771741,-1.8561254,1.3714554,-2.0392294,1.2412126,0.59495854,0.3242433,-0.40861288,-2.2999854,1.1405201,2.8112552,0.7270649,-1.7999227,-3.8276374,1.5866524,-1.4775044,0.74667513
